"place","fit","se","lower","upper","year"
"grocery_and_pharmacy",-4.37151567943886,0.354899137018547,-5.06713667519033,-3.67589468368739,2020
"parks",-1.97037385374979,0.368772214814283,-2.69318681246708,-1.24756089503251,2020
"residential",7.99718309859016,0.3684691083809,7.27496424444236,8.71940195273796,2020
"retail_and_recreation",-16.3107935153571,0.351246561544142,-16.9992552708526,-15.6223317598617,2020
"transit_stations",-11.2441571357555,0.379214425604835,-11.9874373774563,-10.5008768940547,2020
"workplaces",-26.7927618277401,0.34196277051357,-27.4630268639781,-26.1224967915021,2020
"grocery_and_pharmacy",1.0826238390092,0.32245854438331,0.450592376924221,1.71465530109418,2021
"parks",-3.50892681969981,0.324696662710813,-4.14534508195954,-2.87250855744008,2021
"residential",4.92652363774826,0.319413658038521,4.30046027296415,5.55258700253236,2021
"retail_and_recreation",-3.95899227657274,0.314351502197723,-4.57513361629938,-3.34285093684609,2021
"transit_stations",6.25421585160359,0.336560234426068,5.59454452098097,6.91388718222621,2021
"workplaces",-22.5735704323588,0.306076911461718,-23.1734932479616,-21.973647616756,2021
"grocery_and_pharmacy",0.204829308908382,0.45481270985728,-0.686661290439166,1.09631990825593,2022
"parks",-0.294117647058682,0.463580521087095,-1.20279426851781,0.614558974400445,2022
"residential",3.3089795918374,0.450335363341812,2.4262651595627,4.1916940241121,2022
"retail_and_recreation",-1.89525691699574,0.443158244792439,-2.76390328657453,-1.02661054741695,2022
"transit_stations",7.32171945701321,0.474157863490417,6.39230990282315,8.25112901120326,2022
"workplaces",-14.6363295880143,0.431383434208595,-15.4818958353426,-13.790763340686,2022
